page_id,page_title,page_views,intro_text
22591,Oracle Corporation,84763,"Oracle Corporation is an American multinational computer technology corporation headquartered in Redwood Shores, California. The company sells database software and technology, cloud engineered systems, and enterprise software products—particularly its own brands of database management systems. In 2018, Oracle was the third-largest software company by revenue. The company also develops and builds tools for database development and systems of middle-tier software, enterprise resource planning (ERP) software, Human Capital Management (HCM) software, customer relationship management (CRM) software, and supply chain management (SCM) software."
26824,State Street Corporation,16330,"State Street Corporation is an American financial services and bank holding company headquartered at One Lincoln Street in Boston with operations worldwide. It is the second United States bank on the list of oldest banks in continuous operation; its predecessor, Union Bank, was founded in 1792. State Street is ranked 15th on the list of largest banks in the United States by assets. It is one of the largest asset management companies in the world with US$2.511 trillion under management and US$31.62 trillion under custody and administration. It is the second largest custodian bank in the world. The company is ranked 247th on the Fortune 500 as of 2019. The company is on the list of the banks that are too big to fail published by the Financial Stability Board. The company is named after State Street in Boston, which was known as the ""Great Street to the Sea"" in the 18th century as Boston became a flourishing maritime capital. The company's logo includes a clipper to reflect the maritime industry in Boston during this time."
28284,Switch,12989,"In electrical engineering, a switch is an electrical component that can ""make"" or ""break"" an electrical circuit, interrupting the current or diverting it from one conductor to another. The mechanism of a switch removes or restores the conducting path in a circuit when it is operated. It may be operated manually, for example, a light switch or a keyboard button, may be operated by a moving object such as a door, or may be operated by some sensing element for pressure, temperature or flow. A switch will have one or more sets of contacts, which may operate simultaneously, sequentially, or alternately. Switches in high-powered circuits must operate rapidly to prevent destructive arcing, and may include special features to assist in rapidly interrupting a heavy current. Multiple forms of actuators are used for operation by hand or to sense position, level, temperature or flow. Special types are used, for example, for control of machinery, to reverse electric motors, or to sense liquid level. Many specialized forms exist. A common use is control of lighting, where multiple switches may be wired into one circuit to allow convenient control of light fixtures. By analogy with the devices that select one or more possible paths for electric currents, devices that route information in a computer network are also called ""switches"" - these are usually more complicated than simple electromechanical toggles or pushbutton devices, and operate without direct human interaction."
33589,Walmart,90773,"Walmart Inc. (; formerly Wal-Mart Stores, Inc.) is an American multinational retail corporation that operates a chain of hypermarkets, discount department stores, and grocery stores, headquartered in Bentonville, Arkansas. The company was founded by Sam Walton in 1962 and incorporated on October 31, 1969. It also owns and operates Sam's Club retail warehouses. Walmart has 11,438 stores and clubs in 27countries, operating under 55 differentnames. The company operates under the name Walmart in the United States and Canada, as Walmart de México y Centroamérica in Mexico and Central America, as Asda in the United Kingdom, as the Seiyu Group in Japan, and as Best Price in India. It has wholly owned operations in Argentina, Chile, Canada, and South Africa. Since August 2018, Walmart only holds a minority stake in Walmart Brasil, which was renamed Grupo Big in August 2019, with 20 percent of the company's shares, and private equity firm Advent International holding 80 percent ownership of the company. Walmart is the world's largest company by revenue, with US$514.405 billion, according to the Fortune Global 500 list in 2019. It is also the largest private employer in the world with 2.2million employees. It is a publicly traded family-owned business, as the company is controlled by the Walton family. Sam Walton's heirs own over 50 percent of Walmart through their holding company Walton Enterprises and through their individual holdings. Walmart was the largest U.S. grocery retailer in 2019, and 65 percent of Walmart's sales came from U.S. operations. Walmart was listed on the New York Stock Exchange in 1972. By 1988, it was the most profitable retailer in the U.S., and it had become the largest in terms of revenue by October 1989. The company originally was geographically limited to the South and lower Midwest, but it had stores from coast to coast by the early 1990s. Sam's Club opened in New Jersey in November 1989 and the first California outlet opened in Lancaster, California in July 1990. A Walmart in York, Pennsylvania opened in October 1990, the first main store in the Northeast. Walmart's investments outside the U.S. have seen mixed results. Its operations and subsidiaries in Canada, the United Kingdom, Central America, South America and China are highly successful, whereas its ventures failed in Germany and South Korea. ::See also Criticism of Walmart, such as , , , and ."
34164,Xerox,29417,"Xerox Holdings Corporation (; also known as Xerox) is an American global corporation that sells print and digital document products and services in more than 160 countries. Xerox is headquartered in Norwalk, Connecticut (having moved from Stamford, Connecticut in October 2007), though its largest population of employees is based around Rochester, New York, the area in which the company was founded. The company purchased Affiliated Computer Services for $6.4 billion in early 2010. As a large developed company, it is consistently placed in the list of Fortune 500 companies. On December 31, 2016, Xerox separated its business process service operations, essentially those operations acquired with the purchase of Affiliated Computer Services, into a new publicly traded company, Conduent. Xerox focuses on its document technology and document outsourcing business, and continues to trade on the NYSE. Researchers at Xerox and its Palo Alto Research Center invented several important elements of personal computing, such as the desktop metaphor GUI, the computer mouse and desktop computing. These concepts were frowned upon by the then board of directors, who ordered the Xerox engineers to share them with Apple technicians. The concepts were adopted by Apple and later Microsoft. With the help of these innovations, Apple and Microsoft came to dominate the personal computing revolution of the 1980s. Xerox did release the 6085 desktop publishing system in 1986 (before IBM and Microsoft), but an inferior operating system, obsolete hard drive (a 20MB drive weighed over 40lbs/18kg), and weak software (documents paginated at one per second), doomed the model, as Apple and Microsoft's hardware and OS software offered much greater functionality. Xerox also released a 4045 desktop laser printer whose cartridges could print 50,000 pages (instead of 5,000), but the model never caught on, and Xerox abandoned future efforts to focus more on its core businesses."
37398,The Walt Disney Company,115146,"The Walt Disney Company, commonly known as Disney (), is an American diversified multinational mass media and entertainment conglomerate headquartered at the Walt Disney Studios complex in Burbank, California. Disney was originally founded on October 16, 1923, by brothers Walt and Roy O. Disney as the Disney Brothers Cartoon Studio; it also operated under the names The Walt Disney Studio and Walt Disney Productions before officially changing its name to The Walt Disney Company in 1986. The company established itself as a leader in the American animation industry before diversifying into live-action film production, television, and theme parks. Since the 1980s, Disney has created and acquired corporate divisions in order to market more mature content than is typically associated with its flagship family-oriented brands. The company is known for its film studio division, The Walt Disney Studios, which includes Walt Disney Pictures, Walt Disney Animation Studios, Pixar, Marvel Studios, Lucasfilm, 20th Century Fox, Fox 2000 Pictures, Fox Searchlight Pictures, and Blue Sky Studios. Disney's other main units and reporting segments are Disney Media Networks, Disney Parks, Experiences and Products, and Walt Disney Direct-to-Consumer & International. Through these segments, Disney owns and operates the ABC broadcast network; cable television networks such as Disney Channel, ESPN, Freeform, FX, and National Geographic; publishing, merchandising, music, and theater divisions; and Walt Disney Parks and Resorts, a group of 14 theme parks around the world. The company has been a component of the Dow Jones Industrial Average since 1991. Cartoon character Mickey Mouse, created in 1928 by Walt Disney and Ub Iwerks, is one of the world's most recognizable characters and serves as the company's official mascot."
37459,Service Corporation International,1814,"Service Corporation International is an American provider of funeral goods and services as well as cemetery property and services. It is headquartered in Neartown, Houston, Texas. SCI operates more than 1500 funeral homes and 400 cemeteries in 43 states, eight Canadian provinces, and Puerto Rico."
38483,Carnival,13983,"Carnival is a Western Christian festive season that occurs before the liturgical season of Lent. The main events typically occur during February or early March, during the period historically known as Shrovetide (or Pre-Lent). Carnival typically involves public celebrations, including events such as parades, public street parties and other entertainments, combining some elements of a circus. Elaborate costumes and masks allow people to set aside their everyday individuality and experience a heightened sense of social unity. Participants often indulge in excessive consumption of alcohol, meat, and other foods that will be forgone during upcoming Lent. Traditionally, butter, milk, and other animal products were not consumed ""excessively"", rather, their stock was fully consumed as to reduce waste. Pancakes, donuts, and other desserts were prepared and eaten for a final time. During Lent, animal products are no longer eaten, and individuals have the ability to give up a certain object or activity of desire. Other common features of Carnival include mock battles such as food fights; expressions of social satire; mockery of authorities; costumes of the grotesque body that display exaggerated features such as large noses, bellies, mouths, phalli, or elements of animal bodies; abusive language and degrading acts; depictions of disease and gleeful death; and a general reversal of everyday rules and norms. The term Carnival is traditionally used in areas with a large Catholic presence, as well as in Greece. In historically Evangelical Lutheran countries, the celebration is known as Fastelavn, and in areas with a high concentration of Anglicans (Church of England/US Episcopal Church), Methodists, and other Protestants, pre-Lenten celebrations, along with penitential observances, occur on Shrove Tuesday or Mardi Gras. In Slavic Eastern Orthodox nations, Maslenitsa is celebrated during the last week before Great Lent. In German-speaking Europe and the Netherlands, the Carnival season traditionally opens on 11/11 (often at 11:11&nbsp;am). This dates back to celebrations before the Advent season or with harvest celebrations of St. Martin's Day."
39120,Nvidia,38328,"Nvidia Corporation ( ), more commonly referred to as Nvidia (stylized as NVIDIA; formerly stylized as nVidia on products from the mid 90s to early 2000s), is an American technology company incorporated in Delaware and based in Santa Clara, California. It designs graphics processing units (GPUs) for the gaming and professional markets, as well as system on a chip units (SoCs) for the mobile computing and automotive market. Its primary GPU product line, labeled ""GeForce"", is in direct competition with Advanced Micro Devices' (AMD) ""Radeon"" products. Nvidia expanded its presence in the gaming industry with its handheld Shield Portable, Shield Tablet, and Shield Android TV. Since 2014, Nvidia has diversified its business focusing on four markets: gaming, professional visualization, data centers, and auto. Nvidia is also now focused on artificial intelligence. In addition to GPU manufacturing, Nvidia provides parallel processing capabilities to researchers and scientists that allow them to efficiently run high-performance applications. They are deployed in supercomputing sites around the world. More recently, it has moved into the mobile computing market, where it produces Tegra mobile processors for smartphones and tablets as well as vehicle navigation and entertainment systems. In addition to AMD, its competitors include Intel, Qualcomm, and Arm (e.g., because of Denver, while Nvidia also licenses Arm's designs)."
46675,Xylem,7852,"Xylem is one of the two types of transport tissue in vascular plants, phloem being the other. The basic function of xylem is to transport water from roots to stems and leaves, but it also transports nutrients. The word ""xylem"" is derived from the Greek word (xylon), meaning ""wood""; the best-known xylem tissue is wood, though it is found throughout a plant. The term was introduced by Carl Nägeli in 1858."
47768,Texas Instruments,21110,"Texas Instruments Incorporated (TI) is an American technology company that designs and manufactures semiconductors and various integrated circuits, which it sells to electronics designers and manufacturers globally. Its headquarters are in Dallas, Texas, United States. TI is one of the top-10 semiconductor companies worldwide, based on sales volume. Texas Instruments's focus is on developing analog chips and embedded processors, which account for more than 80% of their revenue. TI also produces TI digital light processing technology and education technology products including calculators, microcontrollers and multi-core processors. To date, TI has more than 45,000 patents worldwide. Texas Instruments emerged in 1951 after a reorganization of Geophysical Service Incorporated, a company founded in 1930 that manufactured equipment for use in the seismic industry, as well as defense electronics. TI produced the world's first commercial silicon transistor in 1954, and designed and manufactured the first transistor radio in 1954. Jack Kilby invented the integrated circuit in 1958 while working at TI's Central Research Labs. TI also invented the hand-held calculator in 1967, and introduced the first single-chip microcontroller in 1970, which combined all the elements of computing onto one piece of silicon. In 1987, TI invented the digital light processing device (also known as the DLP chip), which serves as the foundation for the company's award-winning DLP technology and DLP Cinema. In 1990, TI released the popular TI-81 calculator, which made it a leader in the graphing calculator industry. In 1997, its defense business was sold to Raytheon, which allowed TI to strengthen its focus on digital solutions. After the acquisition of National Semiconductor in 2011, the company had a combined portfolio of nearly 45,000 analog products and customer design tools, making it the world's largest maker of analog technology components."
48337,Caterpillar,7837,"Caterpillars are the larval stage of members of the order Lepidoptera (the insect order comprising butterflies and moths). As with most common names, the application of the word is arbitrary, since the larvae of sawflies commonly are called caterpillars as well. Both lepidopteran and symphytan larvae have eruciform body shapes. Caterpillars of most species are herbivorous (folivorous), but not all; some (about 1%) are insectivorous, even cannibalistic. Some feed on other animal products; for example, clothes moths feed on wool, and horn moths feed on the hooves and horns of dead ungulates. Caterpillars are typically voracious feeders and many of them are among the most serious of agricultural pests. In fact many moth species are best known in their caterpillar stages because of the damage they cause to fruits and other agricultural produce, whereas the moths are obscure and do no direct harm. Conversely, various species of caterpillar are valued as sources of silk, as human or animal food, or for biological control of pest plants."
51746,Cisco Systems,51993,"Cisco Systems, Inc. is an American multinational technology conglomerate headquartered in San Jose, California, in the center of Silicon Valley. Cisco develops, manufactures and sells networking hardware, telecommunications equipment and other high-technology services and products. Through its numerous acquired subsidiaries, such as OpenDNS, Webex, Jabber and Jasper, Cisco specializes into specific tech markets, such as Internet of Things (IoT), domain security and energy management. Cisco is incorporated in California. Cisco stock was added to the Dow Jones Industrial Average on June 8, 2009, and is also included in the S&P 500 Index, the Russell 1000 Index, NASDAQ-100 Index and the Russell 1000 Growth Stock Index. Cisco Systems was founded in December 1984 by Leonard Bosack and Sandy Lerner, two Stanford University computer scientists. They pioneered the concept of a local area network (LAN) being used to connect geographically disparate computers over a multiprotocol router system. By the time the company went public in 1990, Cisco had a market capitalization of $224 million. By the end of the dot-com bubble in the year 2000, Cisco had a more than $500 billion market capitalization."
52108,General Dynamics,14942,"General Dynamics Corporation (GD) is an American aerospace and defense corporation. As of 2019, it was the fifth-largest defense contractor in the United States, and the sixth-largest in the world, by sales. The company ranked No. 92 in the 2019 Fortune 500 list of the largest United States corporations by total revenue. It is headquartered in Reston, Fairfax County, Virginia. Formed in 1954 with the merger of submarine manufacturer Electric Boat and aircraft manufacturer Canadair, it evolved through multiple mergers and divestitures and changed markedly in the post–Cold War era of defense consolidation. General Dynamics' former Fort Worth Division, which manufactured the F-16 Fighting Falcon, was sold to the Lockheed Corporation in 1993, but GD re-entered the airframe business in 1999 with its purchase of business jet manufacturer Gulfstream Aerospace."
52638,Altria,12311,"Altria Group, Inc. (previously known as Philip Morris Companies, Inc.) is an American corporation and one of the world's largest producers and marketers of tobacco, cigarettes and related products. It operates worldwide and is headquartered in Henrico County, Virginia, just outside the city of Richmond. Altria is the parent company of Philip Morris USA (producer of Marlboro cigarettes), John Middleton, Inc., U.S. Smokeless Tobacco Company, Inc., Philip Morris Capital Corporation, and Chateau Ste. Michelle Wine Estates. Altria also maintains large minority stakes in Belgium-based brewer ABInBev, the Canadian cannabis company Cronos Group, and the e-cigarette maker JUUL Labs. It is a component of the S&P 500 and was a component of the Dow Jones Industrial Average from 1985 to 2008, dropping due to spin-offs of Kraft Foods Inc. in 2007 and Philip Morris International in 2008."
54998,Bunge Limited,3125,"Bunge Limited (formerly Bunge International, and prior to that Bunge y Born) is an American agribusiness and food company, incorporated in Bermuda, and headquartered in White Plains, New York, United States. As well as being an international soybean exporter, it is also involved in food processing, grain trading, and fertilizer. It competes with Cargill and Archer Daniels Midland. The company has approximately 32,000 employees in 40 countries."
56241,Premier,1628,"Premier is a title for the head of government in some countries, states and sub-national governments. A second in command to a premier is designated as a vice-premier or deputy premier."
62304,Pfizer,31389,"Pfizer Inc. (, ) is an American multinational pharmaceutical corporation headquartered in New York City was founded in 1849, based in New York City and was listed on New York Stock Exchange. It is one of the world's largest pharmaceutical companies. It is listed on the New York Stock Exchange, and its shares have been a component of the Dow Jones Industrial Average since 2004. Pfizer ranked No. 57 on the 2018 Fortune 500 list of the largest United States corporations by total revenue. On December 19, 2018, Pfizer announced a joint merger of their consumer healthcare division with UK pharma giant GlaxoSmithKline; the British company will maintain a controlling share (listed at 68%). The company develops and produces medicines and vaccines for a wide range of medical disciplines, including immunology, oncology, cardiology, endocrinology, and neurology. Its products include the blockbuster drug Lipitor (atorvastatin), used to lower LDL blood cholesterol; Lyrica (pregabalin) for neuropathic pain and fibromyalgia; Diflucan (fluconazole), an oral antifungal medication; Zithromax (azithromycin), an antibiotic; Viagra (sildenafil) for erectile dysfunction; and Celebrex (also Celebra, celecoxib), an anti-inflammatory drug. In 2016, Pfizer Inc. was expected to merge with Allergan, Plc to create the Ireland-based ""Pfizer plc"" in a deal that would have been worth $160 billion. The merger was called off in April 2016, however, because of new rules from the United States Treasury against tax inversions, a method of avoiding taxes by merging with a foreign company. The company has made the second-largest pharmaceutical settlement with the United States Department of Justice."
63032,Southwest Airlines,31586,"Southwest Airlines Co. is a major American airline headquartered in Dallas, Texas, and is the world's largest low-cost carrier. The airline was established on March 15, 1967 by Herb Kelleher as Air Southwest Co. and adopted its current name, Southwest Airlines Co., in 1971, when it began operating as an intrastate airline wholly within the state of Texas, first flying between Dallas, Houston and San Antonio. The airline has more than 60,000 employees and operates about 4,000 departures a day during peak travel season. As of 2018, Southwest carries the most domestic passengers of any United States airline. The airline has scheduled services to 101 destinations in the United States and ten additional countries. Its most recent expansion occurred in March, April, and May 2019 with service to Honolulu, Maui, and Kailua-Kona respectively. Southwest's next planned service expansion is to Lihue on November 10, 2019, and Hilo in January 2020."
